Hours Studied,Practice Tests Taken,Classes Missed,Sleep Hours,Previous Scores,Final Score
12.4,4,1,9.3,84.3,100.0
3.0,4,3,8.3,55.8,49.1
7.4,0,1,7.8,89.0,79.6
1.6,5,2,7.8,58.9,53.2
6.6,0,1,4.5,91.8,72.5
12.8,8,0,9.0,75.9,100.0
5.0,0,5,5.3,58.2,38.7
2.3,8,6,9.8,84.7,64.7
3.1,2,6,4.1,84.0,44.5
5.3,6,3,5.6,86.7,79.2
12.2,3,3,8.9,69.4,88.4
5.0,3,3,4.1,55.2,46.5
13.6,4,5,7.8,66.2,84.7
13.8,8,5,9.6,51.1,84.3
13.5,4,0,4.7,68.0,95.6
10.5,5,6,7.6,72.1,68.1
4.3,6,0,7.1,87.7,88.9
9.9,3,5,6.6,95.3,84.2
9.6,1,4,7.0,80.3,70.0
5.2,4,2,5.2,80.2,66.4
3.3,4,6,7.3,45.0,35.5
4.7,6,5,6.8,68.4,57.2
12.7,2,1,5.7,80.2,96.6
9.1,1,3,8.0,56.9,63.3
4.2,7,1,6.7,92.0,86.4
8.5,6,7,6.4,52.8,48.2
12.2,1,6,5.3,87.6,67.4
10.0,7,0,7.3,93.6,100.0
7.0,8,5,9.7,92.2,85.9
9.0,8,6,9.0,74.0,79.7
7.2,4,3,9.0,59.7,63.5
11.1,7,3,5.6,49.1,72.7
5.2,8,1,4.8,57.3,71.4
10.0,3,1,6.5,62.5,77.6
11.8,6,0,9.1,85.6,100.0
5.9,0,5,5.8,65.7,49.5
8.0,8,3,6.9,59.5,70.0
7.3,6,5,8.0,87.3,75.5
13.0,8,0,9.4,76.4,100.0
9.6,1,6,4.8,69.5,57.8
3.8,5,5,8.6,65.1,53.5
10.8,6,4,9.0,69.9,82.8
13.4,3,1,8.7,79.5,100.0
10.8,3,3,9.0,77.9,85.5
2.5,3,7,8.2,85.6,50.8
3.2,1,2,9.8,50.7,51.2
9.8,6,6,9.6,55.5,65.2
8.7,3,1,8.2,61.0,74.3
11.4,0,5,7.2,80.1,66.6
1.9,5,0,9.1,88.6,86.6
9.3,7,2,6.6,83.9,97.1
13.6,4,7,6.8,88.8,80.1
4.2,1,4,9.3,57.9,45.4
7.0,6,5,4.2,90.1,73.4
11.4,5,4,9.3,82.2,91.7
4.6,0,3,4.5,83.2,52.5
10.0,7,7,8.8,49.9,59.5
3.9,3,4,8.0,64.6,49.1
14.0,8,5,6.1,69.0,86.7
5.0,3,1,8.3,61.7,65.6
10.0,3,3,8.4,59.7,64.6
8.7,8,4,9.9,89.1,91.6
4.9,8,2,5.6,96.6,89.4
8.2,2,7,4.6,45.7,35.0
5.4,0,4,9.6,70.3,59.1
11.7,6,7,4.4,78.4,73.8
8.3,4,1,10.0,51.3,75.2
10.9,3,6,6.7,68.5,70.7
5.0,0,1,9.7,56.0,51.8
3.7,1,2,5.4,74.3,58.3
10.0,7,4,4.2,60.3,73.7
4.7,7,1,8.1,94.0,91.4
9.6,3,6,4.7,56.9,48.0
2.9,4,2,4.4,53.8,46.5
8.4,4,7,4.7,81.5,64.7
10.1,4,7,6.6,76.7,68.6
8.8,0,1,5.4,80.7,74.3
12.2,0,4,7.5,85.4,83.0
6.7,4,2,10.0,68.1,78.3
11.6,1,7,6.1,62.7,52.1
5.3,7,4,8.0,66.2,59.6
10.9,0,7,4.5,58.4,50.7
12.2,0,7,6.5,54.9,54.5
5.7,7,7,8.6,55.8,42.6
6.7,7,1,4.2,78.4,81.1
11.4,2,4,7.3,74.3,84.3
12.9,7,1,7.9,53.2,97.5
13.1,4,4,6.5,70.6,79.1
2.9,3,2,9.2,59.6,56.4
11.3,6,5,9.6,71.9,83.4
4.9,7,2,6.7,70.7,69.9
5.3,8,6,6.7,62.1,56.3
8.4,3,6,4.3,84.5,68.0
10.2,6,6,9.9,87.0,82.8
13.5,2,5,9.2,91.3,89.6
6.7,8,7,4.1,52.6,52.5
2.0,4,5,7.7,66.1,38.6
2.0,5,6,9.7,78.2,54.7
8.0,1,3,7.8,93.8,77.5
14.0,1,6,9.9,85.3,83.9
3.2,4,0,4.3,87.2,74.2
4.8,5,6,4.9,73.2,45.8
3.2,1,6,7.7,57.8,35.0
12.9,2,3,6.8,58.5,75.6
11.5,4,2,4.4,95.1,97.2
13.8,4,6,8.1,69.2,74.4
12.1,1,3,6.3,64.0,84.4
4.8,4,0,9.9,79.9,83.1
9.9,0,7,9.0,92.9,72.6
11.1,3,5,5.3,55.1,60.0
11.0,2,1,9.4,79.3,98.3
5.0,7,0,7.5,83.8,91.0
10.7,2,3,4.8,73.6,75.9
13.6,8,4,9.0,58.6,90.6
11.5,5,1,6.8,49.0,77.1
10.8,3,6,9.8,87.6,76.3
1.2,8,1,6.7,80.7,76.5
9.7,6,5,4.7,57.4,68.8
8.3,3,1,7.8,69.6,80.4
10.1,6,1,4.8,95.2,99.5
2.3,8,2,6.3,64.7,65.7
13.3,8,6,7.5,83.5,94.9
11.8,6,4,4.2,64.6,74.0
6.8,3,5,4.6,81.3,53.2
5.7,6,4,5.1,51.5,49.3
12.0,7,1,8.0,79.0,100.0
11.2,3,2,8.7,55.9,77.5
11.8,8,3,7.5,88.1,100.0
11.3,0,4,9.2,52.7,68.3
2.7,4,2,4.7,90.9,70.0
11.2,5,0,5.0,47.8,82.0
10.6,8,1,8.5,70.2,98.3
2.4,8,3,9.7,47.3,50.7
11.2,8,4,6.7,96.1,100.0
6.2,1,7,8.3,68.5,46.5
12.7,5,2,4.4,59.6,80.3
5.2,8,4,6.7,77.1,67.7
2.3,1,3,6.6,92.1,55.1
6.2,1,5,6.6,80.3,60.1
5.9,2,7,4.4,89.1,53.8
10.6,2,0,7.5,74.8,91.4
5.3,1,6,6.1,80.3,49.7
10.4,4,4,6.1,75.6,70.4
3.8,7,3,9.1,63.6,63.1
4.6,3,6,9.1,96.7,64.6
11.6,8,0,7.7,79.9,100.0
4.6,4,5,6.1,54.6,42.8
2.9,6,1,4.9,78.6,74.8
3.8,6,7,6.0,64.6,43.4
10.4,1,0,4.9,85.0,91.1
6.8,6,7,7.6,67.0,55.5
3.8,8,1,6.1,50.9,61.3
7.9,4,0,5.3,97.2,92.0
